from,to,source
981,1820-10-25,"Th OC-91"
861,1820-10-25,"Th OC-91"
1266,1820-10-26,"Th OC-91"
1856,1820-10-26,"Th OC-91"
1144,1820-10-27,"Th OC-91"
453,1820-10-27,"Th OC-91"
1403,1820-10-28,"Th OC-91"
1280,1820-10-28,"Th OC-91"
861,1820-10-28,"Th OC-91"
36,1820-10-29,"Th OC-91"
990,1820-10-29,"Th OC-91"
284,1820-10-30,"Th OC-91"
981,1820-10-30,"Th OC-91"
640,1820-10-30,"Th OC-91"
554,1820-10-31,"Th OC-91"
694,1820-10-31,"Th OC-91"
1383,1820-11-02,"Th OC-91"
360,1820-11-02,"Th OC-91"
1004,1820-11-03,"Th OC-91"
981,1820-11-03,"Th OC-91"
1856,1820-11-04,"Th OC-91"
872,1820-11-04,"Th OC-91"
554,1820-11-05,"Th OC-91"
981,1820-11-05,"Th OC-91"
343,1820-11-05,"Th OC-91"
1596,1820-11-06,"Th OC-91"
1004,1820-11-06,"Th OC-91"
696,1820-11-07,"Th OC-91"
157,1820-11-07,"Th OC-91"
1856,1820-11-08,"Th OC-91"
543,1820-11-08,"Th OC-91"
1866,1820-11-09,"Th OC-91"
717,1820-11-09,"Th OC-91"
360,1820-11-10,"Th OC-91"
990,1820-11-10,"Th OC-91"
981,1820-11-11,"Th OC-91"
861,1820-11-11,"Th OC-91"
36,1820-11-11,"Th OC-91"
1866,1820-11-12,"Th OC-91"
573,1820-11-12,"Th OC-91"
1527,1820-11-13,"Th OC-91"
543,1820-11-13,"Th OC-91"
1004,1820-11-13,"Th OC-91"
1856,1820-11-14,"Th OC-91"
284,1820-11-14,"Th OC-91"
1266,1820-11-15,"Th OC-91"
453,1820-11-15,"Th OC-91"
1081,1820-11-16,"Th OC-91"
1470,1820-11-16,"Th OC-91"
968,1820-11-16,"Th OC-91"
1004,1820-11-17,"Th OC-91"
981,1820-11-17,"Th OC-91"
1383,1820-11-18,"Th OC-91"
1639,1820-11-18,"Th OC-91"
1527,1820-11-19,"Th OC-91"
543,1820-11-19,"Th OC-91"
1004,1820-11-19,"Th OC-91"
554,1820-11-20,"Th OC-91"
872,1820-11-20,"Th OC-91"
640,1820-11-20,"Th OC-91"
981,1820-11-21,"Th OC-91"
932,1820-11-21,"Th OC-91"
153,1820-11-21,"Th OC-91"
1856,1820-11-22,"Th OC-91"
36,1820-11-22,"Th OC-91"
1803,1820-11-23,"Th OC-91"
717,1820-11-23,"Th OC-91"
964,1820-11-23,"Th OC-91"
1631,1820-11-24,"Th OC-91"
360,1820-11-24,"Th OC-91"
968,1820-11-24,"Th OC-91"
906,1820-11-25,"Th OC-91"
673,1820-11-25,"Th OC-91"
932,1820-11-26,"Th OC-91"
37,1820-11-26,"Th OC-91"
640,1820-11-26,"Th OC-91"
554,1820-11-27,"Th OC-91"
981,1820-11-27,"Th OC-91"
861,1820-11-27,"Th OC-91"
1649,1820-11-28,"Th OC-91"
1004,1820-11-28,"Th OC-91"
1866,1820-11-29,"Th OC-91"
29,1820-11-29,"Th OC-91"
1649,1820-11-30,"Th OC-91"
1280,1820-11-30,"Th OC-91"
965,1820-11-30,"Th OC-91"
1856,1820-12-01,"Th OC-91"
1470,1820-12-01,"Th OC-91"
544,1820-12-02,"Th OC-91"
932,1820-12-02,"Th OC-91"
762,1820-12-03,"Th OC-91"
157,1820-12-03,"Th OC-91"
696,1820-12-04,"Th OC-91"
543,1820-12-04,"Th OC-91"
1055,1820-12-04,"Th OC-91"
1527,1820-12-05,"Th OC-91"
1004,1820-12-05,"Th OC-91"
1550,1820-12-06,"Th OC-91"
1208,1820-12-06,"Th OC-91"
1403,1820-12-07,"Th OC-91"
968,1820-12-07,"Th OC-91"
1866,1820-12-08,"Th OC-91"
